ETS-ID,Year,City,Name,Fueltype,Generation elec. [MWh_el],Capacity factor,Emissions (total) [t],Emission factor w.o. Heat Seperation [t/MWh_el]
1399,2016,Bergkamen,Bergkamen,hard coal,2796586.000,0.445,2823880.000,1.010
1399,2017,Bergkamen,Bergkamen,hard coal,1796371.000,0.286,1639651.000,0.913
1399,2018,Bergkamen,Bergkamen,hard coal,1741338.000,0.277,1586512.000,0.911
1399,2019,Bergkamen,Bergkamen,hard coal,740499.000,0.118,704134.000,0.951
1399,2020,Bergkamen,Bergkamen,hard coal,374569.000,0.060,348234.000,0.930
1399,2021,Bergkamen,Bergkamen,hard coal,914717.000,0.146,849908.000,0.929
1399,2022,Bergkamen,Bergkamen,hard coal,2025901.000,0.323,1989681.000,0.982
1453,2016,Boxberg,Boxberg,lignite,7557272.000,0.863,8874695.000,1.174
1453,2017,Boxberg,Boxberg,lignite,7205024.000,0.822,8552606.000,1.187
1453,2018,Boxberg,Boxberg,lignite,7434665.000,0.849,8791054.000,1.182
1453,2019,Boxberg,Boxberg,lignite,6437597.000,0.735,7606935.000,1.182
1453,2020,Boxberg,Boxberg,lignite,5606519.000,0.640,6648578.000,1.186
1453,2021,Boxberg,Boxberg,lignite,5855265.000,0.668,6974582.000,1.191
1453,2022,Boxberg,Boxberg,lignite,6808790.000,0.777,7996566.000,1.174
1454,2016,Boxberg,Boxberg,lignite,9385293.000,0.729,9696702.000,1.033
1454,2017,Boxberg,Boxberg,lignite,10228126.000,0.794,10583101.000,1.035
1454,2018,Boxberg,Boxberg,lignite,9852533.000,0.765,10209765.000,1.036
1454,2019,Boxberg,Boxberg,lignite,10530045.000,0.818,11046608.000,1.049
1454,2020,Boxberg,Boxberg,lignite,8223451.000,0.639,8736511.000,1.062
1454,2021,Boxberg,Boxberg,lignite,8302378.000,0.645,8559191.000,1.031
1454,2022,Boxberg,Boxberg,lignite,10568909.000,0.821,11131400.000,1.053
1460,2016,Boehlen,Lippendorf,lignite,11456750.000,0.734,10781907.000,0.941
1460,2017,Boehlen,Lippendorf,lignite,11905637.000,0.763,11376121.000,0.956
1460,2018,Boehlen,Lippendorf,lignite,12056399.000,0.772,11711105.000,0.971
1460,2019,Boehlen,Lippendorf,lignite,9284477.000,0.595,8943673.000,0.963
1460,2020,Boehlen,Lippendorf,lignite,8375104.000,0.537,8272543.000,0.988
1460,2021,Boehlen,Lippendorf,lignite,11282373.000,0.723,11051209.000,0.980
1460,2022,Boehlen,Lippendorf,lignite,12131037.000,0.777,11911240.000,0.982
795,2016,Burghausen,Burghausen,NG,0.000,0.000,684752.000,
795,2017,Burghausen,Burghausen,NG,0.000,0.000,688971.000,
795,2018,Burghausen,Burghausen,NG,0.000,0.000,664276.000,
795,2019,Burghausen,Burghausen,NG,0.000,0.000,521038.000,
795,2020,Burghausen,Burghausen,NG,0.000,0.000,560948.000,
795,2021,Burghausen,Burghausen,NG,0.000,0.000,580468.000,
795,2022,Burghausen,Burghausen,NG,0.000,0.000,538142.000,
1419,2016,Helmstedt,Buschhaus,lignite,1710289.000,0.555,1798498.000,1.052
1419,2017,Helmstedt,Buschhaus,lignite,0.000,0.000,3.000,
1419,2018,Helmstedt,Buschhaus,lignite,0.000,0.000,127.000,
1419,2019,Helmstedt,Buschhaus,lignite,0.000,0.000,48.000,
1419,2020,Helmstedt,Buschhaus,lignite,0.000,0.000,0.000,
1419,2021,Helmstedt,Buschhaus,lignite,0.000,0.000,0.000,
1419,2022,Helmstedt,Buschhaus,lignite,0.000,0.000,0.000,
1409,2016,Herdecke,Cuno HKW Herdecke,NG,429315.983,0.116,188248.000,0.438
1409,2017,Herdecke,Cuno HKW Herdecke,NG,490275.000,0.132,192392.000,0.392
1409,2018,Herdecke,Cuno HKW Herdecke,NG,461604.000,0.124,182013.000,0.394
1409,2019,Herdecke,Cuno HKW Herdecke,NG,991632.000,0.267,375089.000,0.378
1409,2020,Herdecke,Cuno HKW Herdecke,NG,1358468.641,0.366,532144.000,0.392
1409,2021,Herdecke,Cuno HKW Herdecke,NG,1110705.000,0.299,409898.000,0.369
1409,2022,Herdecke,Cuno HKW Herdecke,NG,877719.000,0.236,357317.000,0.407
208968,2016,Datteln,Datteln,hard coal,0.000,0.000,0.000,
208968,2017,Datteln,Datteln,hard coal,1.000,0.000,152770.000,152770.000
208968,2018,Datteln,Datteln,hard coal,0.000,0.000,6604.000,
208968,2019,Datteln,Datteln,hard coal,1495.000,0.000,38028.000,25.437
208968,2020,Datteln,Datteln,hard coal,2275756.000,0.247,1959460.000,0.861
208968,2021,Datteln,Datteln,hard coal,4696684.000,0.510,3815258.000,0.812
208968,2022,Datteln,Datteln,hard coal,4558556.000,0.495,3823696.000,0.839
1485,2016,Dormagen,Dormagen,NG,1290593.000,0.251,1585620.000,1.229
1485,2017,Dormagen,Dormagen,NG,947435.000,0.185,1388788.000,1.466
1485,2018,Dormagen,Dormagen,NG,621111.000,0.121,1060583.000,1.708
1485,2019,Dormagen,Dormagen,NG,846733.000,0.165,1229238.000,1.452
1485,2020,Dormagen,Dormagen,NG,727081.000,0.142,1123777.000,1.546
1485,2021,Dormagen,Dormagen,NG,523880.000,0.102,1063848.000,2.031
1485,2022,Dormagen,Dormagen,NG,389290.000,0.076,973948.000,2.502
1411,2016,Hamborn,Duisburg-Hamborn,BFG,369529.934,0.422,2070524.000,5.603
1411,2017,Hamborn,Duisburg-Hamborn,BFG,468126.000,0.534,2001687.000,4.276
1411,2018,Hamborn,Duisburg-Hamborn,BFG,457332.207,0.522,1948081.000,4.260
